                   1                                
                   2                                
                   3                                
 4          4     4        4                        
 6          6     6        5                        
 8          8     8            7                    
                               9                    
  13       11   10                   12                 
 16          15     14                                 
                  17                                 
            18                                       
                  19                                 
            20                                       
                                     22 22 21            
                                     23  24           
                           26   25                    
                               27                    
                           28                        
 29                                                  
 30                                                  
 31     31   31 31      31 31    31 31 31 31 31     31              
       33                  33          32              
 35    34 34   42 39    43 36 41    34 40 37 37 38 43     34              
      44 44                  44          44              
                    45                               
                                    46   47           
                               48                    
                             49 50                     
                                    51   52           
        53       53        53     53 53 53 53    53        53 53  
                               54 55                    
             56                                      
      57 58 58                  58          58              
                     59                              
                            60                       
           61                                        
                               62                    
        63       63        63     63 63 63 63    63        63 63  
     65                  64                           
        66       66        66     66 66 66 66    66        66 66  
                               67                    
      69 69                  69          69 68            
                                    70   71           
        72       72        72     72 72 72 72    72        72 72  
        73       73        73     73 73 73 73    73        73 73  
    75 75 75 75               75 75 75         75 75 75 74 74 74 74 74 74     
                                         76 78 77 79 80 81     
        82       82        82     82 82 82 82    82        82 82  
    84 84 84 84         83     84 84 84         84 84  84 84 84 84 84 84 84 83 83  
        87       87        87     87 87 87 87    87        85 86  
                 90                              88 89  
        91       91        91     91 91 91 91    91            
 92  92 93 93 93 93       92 93     93 93 93         93 93  93 93 93 93 93 93 93 93 93 92 92 
 98  96           97                                  94 95 
        103       104        102     106 116 99 100 101    105            
                               107                    
                               108                    
                               109                    
                               110                    
        111       111        111     111 111 111 111    111        111 111  
        112       112        112     112 112 112 112    112        112 112  
                               113                    
                                    114 115             
